id_expose,url,title,address,contact_person,telephone,mobile,fax,price_purchase,estimated_monthly_rate,rooms,living_area_m2,furnishing,flat_type,floor,floor_total,bedrooms,commission_buyer_rate,maintenance_cost,construction_year,object_state,heating_type,energy_efficiency_class,location
,https://www.immobilienscout24.de/expose/120574171#/,"Helle Wohnung im Jugenstilhaus - Erstbezug nach Renovierung, ohne Provision!","Dietlingerstr 35, 75179 Pforzheim, Brötzingen",,01634336424,01634336424,,279000,0,4.0,101.0,"['Balkon/ Terrasse', 'Provisionsfrei', 'Keller']", Etagenwohnung ,2,4,2,0,0,1910, Erstbezug nach Sanierung , Gas-Heizung ,,"Brötzingen ist ein Stadtteil von Pforzheim.

Von hier sind Sie in wenigen Minuten in der Innenstadt, genauso wie im Grünen. Im wenige Minuten entfernten Wallberg lässt es sich erholsam spazieren. Die Autobahn A8 erreichen Sie mit dem Auto in weniger als 5 Minuten, so dass Sie stets eine zügige Anbindung nach Stuttgart und Karlsruhe haben.  
 
Die Brückenfunktion zu den Ballungsräumen macht Pforzheim, und Brötzingen im Besonderen, zu einem der attraktivsten Standorte in Baden-Württemberg. 
 
Parken: Parkmöglichkeiten direkt am Haus. S-Bahn: 350m vom Haus (Brötzingen Mitte);

Karlsruhe & Stuttgart Hbf: ca. 20-35min per Auto;  

Einkaufsmöglichkeiten, Schule und Innenstadt: Fußläufig;"
,https://www.immobilienscout24.de/expose/120558860#/,Schöne 2 Zimmer Wohnung zum wohlfühlen!," 75112 Pforzheim, Weststadt",,017666693816,017666693816,032121144660,148000,0,2.0,50.0,['Personenaufzug'], Etagenwohnung ,0,0,1,3.57,193,1966, Saniert , Fernwärme ,,"Pforzheim liegt am Nordrand des Schwarzwaldes und ist mit knapp 125.000 Einwohnern die achtgrößte Stadt Baden-Württembergs. Die angebotene Immobilie befindet sich in bester City-Lage unweit des Oststadtparks und nur ca. 1,5km vom Stadtzentrum entfernt. Alle Dinge des täglichen Bedarfs wie Einkaufsmöglichkeiten, Apotheken, Schulen, Ärzte und Kindergärten sind im Umkreis vorhanden und teils fußläufig erreichbar. An den öffentlichen Nahverkehr sind Sie angebunden, der Pforzheimer HBF ist ca. 750m entfernt. Über die nah verlaufende Autobahn A8 und diverse Bundesstraßen gelangen Sie in ca. 30 Minuten nach Karlsruhe und in ca. 40 Minuten in die Landeshauptstadt Stuttgart. Pforzheim liegt am Zusammenfluss von Enz, Nagold und Würm und wird aufgrund seiner geografischen Lage auch «Pforte zum Schwarzwald» genannt. Hier beginnen (und enden) zahlreiche Wanderwege, so dass auch Naturliebhaber auf ihre Kosten kommen, ohne auf die Annehmlichkeiten des städtischen Lebens zu verzichten."
,https://www.immobilienscout24.de/expose/117877840#/,Modernes großzügige Loft Wohnung in Pforzheim - Dillweißenstein," 75180 Pforzheim, Dillweißenstein",,07031986260,017670865432,,598000,0,3.0,250.0,['Balkon/ Terrasse'],,1,0,0,4.64,0,2018,, Fußbodenheizung , D ,"Gastronomie und Nagold-Freibad, Kulturbahn und Museumsbahnhof, Geschäfte rund um den Ludwigsplatz, Galerien und Künstler. Hier kann man auf Erlebnistour gehen.Dazu Natur pur rundherum: Burgruinen, Wander- und Radwanderwege, Naturkletterwand, Kanustrecke und Grillwiese.

Dillweißenstein ist ein traditionsreiches Ausflugsziel in Stadtnähe. Auch zwei der Schwarzwald-Höhenwege führen durch den Ort.

Übernachten kann man in der Jugendherberge „Rabeneck“ (Familien und Freizeiten), im einstigen Kurhotel oder im „Boardinghouse“ (exklusiv für Gäste des Parkhotels Pforzheim).

Wo der Ort liegt:
Nur drei Kilometer von der Pforzheimer „City“ entfernt, und doch ganz anders: Dillweißenstein liegt im Nagoldtal, zwei Flussschleifen zwischen bewaldeten Burghügeln bestimmen die Szenerie.

Ein natürliches Eingangstor zum Naturpark Schwarzwald Mitte/Nord.

Der Doppelort aus Dill- und Weißenstein inklusive der Trabantenstadt Sonnenhof auf dem Höhenplateau zählt heute ca. 8500 Einwohner. Die Talsohle in Dillstein liegt bei 260 m ü. M., der Weißensteiner Schlossberg erreicht knapp 400 m Höhe."
,https://www.immobilienscout24.de/expose/117877435#/,"Schöne, helle, große 2 Zimmer Loft - Wohnung zzgl. Studio in Pforzheim - Dillweißenstein"," 75180 Pforzheim, Dillweißenstein",,07031986260,017670865432,,398000,0,2.0,173.0,"['Balkon/ Terrasse', 'Gäste-WC']",,1,0,0,4.64,0,2019,, Zentralheizung , D ,"Gastronomie und Nagold-Freibad, Kulturbahn und Museumsbahnhof, Geschäfte rund um den Ludwigsplatz, Galerien und Künstler. Hier kann man auf Erlebnistour gehen.Dazu Natur pur rundherum: Burgruinen, Wander- und Radwanderwege, Naturkletterwand, Kanustrecke und Grillwiese.

Dillweißenstein ist ein traditionsreiches Ausflugsziel in Stadtnähe. Auch zwei der Schwarzwald-Höhenwege führen durch den Ort.

Übernachten kann man in der Jugendherberge „Rabeneck“ (Familien und Freizeiten), im einstigen Kurhotel oder im „Boardinghouse“ (exklusiv für Gäste des Parkhotels Pforzheim).

Wo der Ort liegt:
Nur drei Kilometer von der Pforzheimer „City“ entfernt, und doch ganz anders: Dillweißenstein liegt im Nagoldtal, zwei Flussschleifen zwischen bewaldeten Burghügeln bestimmen die Szenerie.

Ein natürliches Eingangstor zum Naturpark Schwarzwald Mitte/Nord.

Der Doppelort aus Dill- und Weißenstein inklusive der Trabantenstadt Sonnenhof auf dem Höhenplateau zählt heute ca. 8500 Einwohner. Die Talsohle in Dillstein liegt bei 260 m ü. M., der Weißensteiner Schlossberg erreicht knapp 400 m Höhe.
"
,https://www.immobilienscout24.de/expose/117163446#/,Solide Kapitalanlage am Oststadtpark," 75175 Pforzheim, Oststadt",,072323602372,,07232360492372,159000,0,3.0,70.0,, Etagenwohnung ,1,3,2,4.64,150,1960,,, E ,
,https://www.immobilienscout24.de/expose/114301441#/,Naturschutzgebiet und Stadt direkt in der Nähe!," 75175 Pforzheim, Südoststadt",,072311845582,,0723118471180,338000,0,4.0,165.65,"['Balkon/ Terrasse', 'Gäste-WC', 'Einbauküche', 'Keller']", Etagenwohnung ,0,0,0,4.64,100,1916, Gepflegt , Etagenheizung ,,"Pforzheim mit ca. 125.000 Einwohnern ist Oberzentrum der Region nördlicher Schwarzwald. Die Stadt besitzt vier große Gewerbegebiete: die Wilferdinger Höhe, das Brötzinger Tal, das Altgefäll und die Hohenäcker. Die Stadt Pforzheim bietet Grund- und Haupt- und Realschulen, Gymnasien sowie Berufs- und Fachhochschule. Kultur- und Freizeiteinrichtungen wie Theater, Museen, Schwimmbäder, Sportplätze, Wildpark etc. machen die Stadt attraktiv.

Die Maisonettewohnung liegt in zentraler Lage am Fuße der Südstadt und bietet mit kurzen Wegen in den Schwarzwald, ins Würmtal und auch in das Stadtzentrum."
,https://www.immobilienscout24.de/expose/100485978#/,Haus im Haus in Büchenbronn - Ruhige Lage - Mit Aufzug,"Dillweißensteiner Straße 10, 75180 Pforzheim / Büchenbronn, Pforzheim",,072317768228,017610478810,072317768229,449000,0,5.5,133.0,"['Balkon/ Terrasse', 'Personenaufzug', 'Provisionsfrei']", Maisonette ,0,0,4,0,0,2016,, Fußbodenheizung ,,Ruhige und bevorzugte Lage in Pforzheim - Büchenbronn.
,https://www.immobilienscout24.de/expose/117184424#/,Loftähnliche Maisonette mit Garten in Farbrikgebäude," 75172 Pforzheim, Weststadt",,071419474100,,0714194741029,350000,0,3.5,120.0,"['Balkon/ Terrasse', 'Einbauküche', 'Keller', 'Garten/ -mitbenutzung']", Maisonette ,1,4,2,4.64,328,1902, Modernisiert , Zentralheizung ,,"Traditionsreiche Wohn- und Geschäftslage der Weststadt, 13 Minuten Fußweg zum Hauptbahnhof. Die Stadt Pforzheim ist das wirtschaftliche und kulturelle Zentrum der Region Nordschwarzwald und zählt zu den bedeutendsten Wirtschaftsstandorten des Landes Baden-Württemberg. Eine Landschaft aus Wiesen, Feldern, Wäldern, Flüssen und Seen sorgt für die Attraktivität des Wohnorts."
,https://www.immobilienscout24.de/expose/121058071#/,WOHNUNG MIT 78 m² WOHNFLÄCHE,"Hirsauer Straße x, 75180 Pforzheim, Dillweißenstein",,0711357072,,,53500,0,3.0,78.0,['Provisionsfrei'],,0,0,0,0,0,1905,,,,
,https://www.immobilienscout24.de/expose/121053250#/,Friedenstr. Neubau-Penthouse," 75173 Pforzheim, Südweststadt",,,01713658560,072316035505,365000,0,3.0,85.0,"['Gäste-WC', 'Keller', 'Garten/ -mitbenutzung', 'Vermietet', 'Balkon/ Terrasse', 'Als Ferienwohnung geeignet', 'Provisionsfrei']", Penthouse ,1,2,2,0,150,2020, Erstbezug , Holz-Pelletheizung ,,
