id_expose,url,title,address,contact_person,telephone,mobile,fax,price_purchase,estimated_monthly_rate,rooms,living_area_m2,furnishing,flat_type,floor,floor_total,bedrooms,commission_buyer_rate,maintenance_cost,construction_year,object_state,heating_type,energy_efficiency_class,location
,https://www.immobilienscout24.de/expose/120745917#/,"Hochwertige 4,5-Zimmer-Wohnung mit Garten und Terrasse"," 36100 Petersberg / Steinau, Petersberg",,,,,450000,0,4.5,124.0,"['Balkon/ Terrasse', 'Einbauküche', 'Garten/ -mitbenutzung', 'Gäste-WC']", Erdgeschosswohnung ,0,0,0,5.95,0,2015, Neuwertig ,,,"Petersberg ist eine ländlich geprägte Gemeinde und gehört zum Landkreis Fulda. Die sechs Ortsteile überzeugen mit einer gut ausgebauten Infrastruktur und einem regen Vereinsleben. Die Rhön und der Park in Petersberg, der frühere Nonnengarten, laden zum Entspannen und Verweilen ein. Außerdem findet man innerorts verschiedene Radwanderwege, welche an den hessischen Radfernweg R3 angebunden sind. Innerorts gibt es ein Aktivmuseum und verschiedene historische Bauwerke, welche die Geschichte von Petersberg erzählen. Alle Einkaufsmöglichkeiten für den täglichen Bedarf kann man schnell zu Fuß oder mit dem Fahrrad erreichen. Für Familien gibt es mehrere Schulen und Kindertageseinrichtungen sowie verschiedene Freizeitangebote für jede Altersklasse. Petersberg erreicht man über die Autobahn A7, den nächsten Bahnhof findet man in Fulda. Leipzig erreicht man mit dem Auto in ca. 3  Stunden.

Das Objekt befindet sich in Steinau, einem Ortsteil von Petersberg. 

Entfernungen:
ca. 10 Minuten Fulda Innenstadt
ca. 2 Minuten Auffahrt A7
ca. 7 Minuten Auffahrt A66
ca. 50 Minuten bis Frankfurt am Main/Flughafen (A66)
ca. 60 Minuten bis Würzburg (A7)
ca. 60 Minuten bis Kassel (A7)"
,https://www.immobilienscout24.de/expose/111596483#/,*Traumhafte 5 Zimmer Neubau-Eigentumswohnung*," 36039 Fulda, Fulda (Kreis)",,0661902780,,06619027850,760000,0,5.0,191.0,,,0,0,0,5.95,0,2014,,,,
,https://www.immobilienscout24.de/expose/119808251#/,"*Extravagantes, luxuriöses 7-Zimmer-Neubau-Penthouse*"," 36093 Künzell/Pilgerzell, Künzell",,0661902780,,06619027850,589000,0,7.0,172.0,['Provisionsfrei'], Penthouse ,0,0,0,0.0,0,2020,,,,
,https://www.immobilienscout24.de/expose/116422233#/,Neubau Eigentumswohnung - Fein & Exklusiv - Ein Klassiker bei der Zukunftssicherung," 36100 Petersberg, Fulda (Kreis)",Herr Franz Heimann,066185721501,,066185718107,452000,0,3.0,106.0,, Dachgeschoss ,0,0,0,2.0,0,unbekannt, Erstbezug , Wärmepumpe ,,"Unser Mehrfamilienhaus liegt zentral in Petersberg, einer der aktuell gefragtesten Wohnlagen. Hier finden Sie alles, was Sie für den täglichen Bedarf benötigen - Ärzte, Apotheken, Bäcker, Metzger, Banken, Kindergarten, Schulen, Fachmarktzentren etc. erreichen Sie mit dem Auto oder auch zu Fuss innerhalb weniger Minuten. 

Die Gemeinde Petersberg bietet Ihnen zudem ein breites Repertoire an Freizeitmöglichkeiten. So finden Sie Kletterhalle, Frei- und Hallenbäder, Tennis- und Sportplätze, Rad- und Wanderwege sowie das Naherholungsgebiet Rauschenberg in unmittelbarer Nähe zu Ihrem neuen Zuhause. Vielfältige Vereine in und um Petersberg freuen sich über neue Mitglieder. Überzeugen Sie sich selbst - hier ist für jeden das Passende dabei."
,https://www.immobilienscout24.de/expose/116422225#/,Neubau Eigentumswohnung - Fein & Exklusiv - Ein Klassiker bei der Zukunftssicherung," 36100 Petersberg, Fulda (Kreis)",,066185721501,,066185718107,254000,0,2.0,62.0,, Etagenwohnung ,1,0,0,2.0,0,unbekannt, Erstbezug , Wärmepumpe ,,"Unser Mehrfamilienhaus liegt zentral in Petersberg, einer der aktuell gefragtesten Wohnlagen. Hier finden Sie alles, was Sie für den täglichen Bedarf benötigen - Ärzte, Apotheken, Bäcker, Metzger, Banken, Kindergarten, Schulen, Fachmarktzentren etc. erreichen Sie mit dem Auto oder auch zu Fuss innerhalb weniger Minuten. 

Die Gemeinde Petersberg bietet Ihnen zudem ein breites Repertoire an Freizeitmöglichkeiten. So finden Sie Kletterhalle, Frei- und Hallenbäder, Tennis- und Sportplätze, Rad- und Wanderwege sowie das Naherholungsgebiet Rauschenberg in unmittelbarer Nähe zu Ihrem neuen Zuhause. Vielfältige Vereine in und um Petersberg freuen sich über neue Mitglieder. Überzeugen Sie sich selbst - hier ist für jeden das Passende dabei."
,https://www.immobilienscout24.de/expose/116422191#/,Neubau Eigentumswohnung - Fein & Exklusiv - Ein Klassiker bei der Zukunftssicherung," 36100 Petersberg, Fulda (Kreis)",,066185721501,,066185718107,248000,0,2.0,62.0,, Erdgeschosswohnung ,0,0,0,2.0,0,unbekannt, Erstbezug , Wärmepumpe ,,"Unser Mehrfamilienhaus liegt zentral in Petersberg, einer der aktuell gefragtesten Wohnlagen. Hier finden Sie alles, was Sie für den täglichen Bedarf benötigen - Ärzte, Apotheken, Bäcker, Metzger, Banken, Kindergarten, Schulen, Fachmarktzentren etc. erreichen Sie mit dem Auto oder auch zu Fuss innerhalb weniger Minuten. 

Die Gemeinde Petersberg bietet Ihnen zudem ein breites Repertoire an Freizeitmöglichkeiten. So finden Sie Kletterhalle, Frei- und Hallenbäder, Tennis- und Sportplätze, Rad- und Wanderwege sowie das Naherholungsgebiet Rauschenberg in unmittelbarer Nähe zu Ihrem neuen Zuhause. Vielfältige Vereine in und um Petersberg freuen sich über neue Mitglieder. Überzeugen Sie sich selbst - hier ist für jeden das Passende dabei."
,https://www.immobilienscout24.de/expose/116422186#/,Neubau Eigentumswohnung - Fein & Exklusiv - Ein Klassiker bei der Zukunftssicherung," 36100 Petersberg, Fulda (Kreis)",,066185721501,,066185718107,316000,0,2.0,79.0,, Erdgeschosswohnung ,0,0,0,2.0,0,unbekannt, Erstbezug , Wärmepumpe ,,"Unser Mehrfamilienhaus liegt zentral in Petersberg, einer der aktuell gefragtesten Wohnlagen. Hier finden Sie alles, was Sie für den täglichen Bedarf benötigen - Ärzte, Apotheken, Bäcker, Metzger, Banken, Kindergarten, Schulen, Fachmarktzentren etc. erreichen Sie mit dem Auto oder auch zu Fuss innerhalb weniger Minuten. 

Die Gemeinde Petersberg bietet Ihnen zudem ein breites Repertoire an Freizeitmöglichkeiten. So finden Sie Kletterhalle, Frei- und Hallenbäder, Tennis- und Sportplätze, Rad- und Wanderwege sowie das Naherholungsgebiet Rauschenberg in unmittelbarer Nähe zu Ihrem neuen Zuhause. Vielfältige Vereine in und um Petersberg freuen sich über neue Mitglieder. Überzeugen Sie sich selbst - hier ist für jeden das Passende dabei."
,https://www.immobilienscout24.de/expose/120344539#/,"Stilvolle XXL-""Haus im Haus""-Maisonette mit Einliegerwohnung in bester Lage"," 36093 Künzell, Fulda",,01707641622,01707641622,0661480435911,495000,0,8.0,261.0,"['Garten/ -mitbenutzung', 'Keller', 'Balkon/ Terrasse', 'Einbauküche', 'Gäste-WC']", Maisonette ,0,0,4,5.95,0,1971,, Zentralheizung , E ,"Engelhelms mit seinen rd. 2.000 Einwohnern ist einer von 8 Ortsteilen der Gemeinde Künzell. Künzell grenzt unmittelbar an die südöstliche Stadtgrenze von Fulda und gehört zu den begehrtesten Wohnorten im Kreis Fulda. Engelhelms liegt eingebettet zwischen dem Florenberg und Schloss Fasanerie und kann auf eine über 1500-jährige Geschichte blicken. Der Ortsteil verfügt über ein Bürgerhaus, einen Kindergarten, Sportanlagen, Wanderwege und eine Vielzahl an Vereinen. In der Gemeinde gibt es eine Allgemeinarztpraxis, Gastronomie, eine Fleischerei, einen Bäcker und eine Gärtnerei. Das Einkaufszentrum Kaiserwiesen ist ca. 3,5 km entfernt. Schulen sind im jeweils nur rd. 4-6 km entfernten Kernort Künzell oder in Fulda zu finden. Zur nächsten Bushaltestelle sind es nur rd. 500 m oder ca. 5 Minuten zu Fuß. Die Fuldaer Innenstadt oder der ICE-Bahnhof liegen jeweils rd. 6 km oder ca. 12 Autominuten entfernt."
,https://www.immobilienscout24.de/expose/120304080#/,"Ruhige 2,5-Zimmer-Dachgeschosswohnung für Singles oder Paare in bester Lage"," 36093 Künzell, Fulda (Kreis)",,01707641622,01707641622,0661480435911,185000,0,2.5,78.0,"['Balkon/ Terrasse', 'Einbauküche', 'Garten/ -mitbenutzung', 'Keller']", Dachgeschoss ,0,0,2,5.95,0,1984,, Etagenheizung , D ,"Die Gemeinde Künzell grenzt unmittelbar an die südöstliche Stadtgrenze von Fulda und gehört zu den begehrtesten Wohnorten im Kreis Fulda. Die Gemeinde hat rund 16.000 Einwohner und besteht aus 8 Ortsteilen. Der östliche Teil der Gemeinde gehört bereits zur Vorderrhön. Die nächste Bushaltestelle liegt nur ca. 300 m entfernt. In rd. 600 m Entfernung finden Sie eine Apotheke, einen Gasthof, Friseur und ein Eiscafé. In rd. 850 m eine Kindertagesstätte und einen Zahnarzt. In rd. 1,5 km Entfernung einen Hausarzt, Supermarkt, Bäckerei und Café sowie ein Schuhhaus. Ca. 1,8 - 2,0 km sind es bis zur nächsten Grundschule sowie zum Klinikum Fulda. Eine Vielzahl an Vereinen sowie ein breites Freizeit- und Kulturangebot runden die Attraktivität des Wohnstandortes ab. Künzell liegt unmittelbar an der A 7, Anschlussstelle Fulda-Mitte sowie der B 27, Ausfahrt Fulda-Künzeller Straße. Der ICE-Bahnhof Fulda ist nur wenige Kilometer entfernt."
,https://www.immobilienscout24.de/expose/117618483#/,"Preissenkung: 3,5-Zimmer Eigentumswohnung in zentraler Lage"," 36100 Petersberg, Fulda (Kreis)",,01707641622,01707641622,0661480435911,229000,0,3.5,99.0,"['Balkon/ Terrasse', 'Einbauküche', 'Keller']", Etagenwohnung ,1,0,2,5.95,0,1986,,,,"Die angebotene Immobilie befindet sich in einer beliebten und ruhigen Wohnlage der Kerngemeinde Petersberg. Die nächste Bushaltestelle ist ca. 350 m entfernt. In unmittelbarer Nähe finden Sie eine Bäckerei, eine Apotheke sowie eine Gaststätte und einen Allgemeinmediziner. Das Rathaus Petersberg erreichen Sie zu Fuß in ca. 10 Minuten, ebenso wie die Geschäfte auf dem Gelände der alten Ziegelei. Der nächstgelegene Kindergarten ist ca. 600 m entfernt. Petersberg verfügt über mehrere allgemein bildende und weiterführende Schulen und zahlreiche Freizeit- und Kultureinrichtungen. Die Gemeinde Petersberg grenzt unmittelbar an die nordöstliche Stadtgrenze von Fulda und hat rund 16.000 Einwohner. Die Gemeinde besteht aus 6 Ortsteilen. Petersberg ist verkehrstechnisch sehr gut angebunden. Die Gemeinde liegt nahe zur Anschlussstelle Fulda-Mitte der A7. Durch das Gemeindegebiet verlaufen außerdem die B 27 und B 458. Der ICE-Bahnhof Fulda ist nur wenige Kilometer entfernt."
